School,Gender,Age,Housing Type,Family Size,Parents' Situation,Mother's Education,Father's Education,Mother's Occupation,Father's Occupation,Reason for Choosing School,Legal Guardian,Commute Time to School,Weekly Study Time,Extra Educational Support,Parental Educational Support,Private Lessons,Extracurricular Activities,Attended Preschool,Plans to Pursue Higher Education,Has Internet Access,Dating,Good Family Relationships,Free Time After School,Time with Friends,Alcohol Consumption on Weekdays,Alcohol Consumption on Weekends,Health Status,School Absences,Grade for the 1st Semester,Grade for the 2nd Semester
0,Male,18,0,1,1,4,4,3,0,Reputation,Mother,2,2 to 5h,1,0,0,0,Yes,1,0,0,4,3,4,1,1,3,4,0,11
0,Male,17,0,1,0,1,1,3,4,Reputation,Father,1,2 to 5h,0,1,0,0,No,1,1,0,5,3,3,1,1,3,2,9,11
0,Male,15,0,0,0,1,1,3,4,Other,Mother,1,2 to 5h,1,0,0,0,Yes,1,1,0,4,3,2,2,3,3,6,12,13
0,Male,15,0,1,0,4,2,1,2,Course Preference,Mother,1,5 to 10h,0,1,0,1,Yes,1,1,1,3,2,2,1,1,5,0,14,14
0,Male,16,0,1,0,3,3,4,4,Course Preference,Father,1,2 to 5h,0,1,0,0,Yes,1,0,0,4,3,2,1,2,5,0,11,13
0,Female,16,0,0,0,4,3,2,4,Near Home,Mother,1,2 to 5h,0,1,0,1,Yes,1,1,0,5,4,2,1,2,5,6,12,12
0,Female,16,0,0,0,2,2,4,4,Course Preference,Mother,1,2 to 5h,0,0,0,0,Yes,1,1,0,4,4,4,1,1,3,0,13,12
0,Male,17,0,1,1,4,4,4,0,Course Preference,Mother,2,2 to 5h,1,1,0,0,Yes,1,0,0,4,1,4,1,1,1,2,10,13
0,Female,15,0,0,1,3,2,2,4,Course Preference,Mother,1,2 to 5h,0,1,0,0,Yes,1,1,0,4,2,2,1,1,1,0,15,16
0,Female,15,0,1,0,3,4,4,4,Course Preference,Mother,1,2 to 5h,0,1,0,1,Yes,1,1,0,5,5,1,1,1,5,0,12,12
0,Male,15,0,1,0,4,4,0,1,Near Home,Mother,1,2 to 5h,0,1,0,0,Yes,1,1,0,3,3,3,1,2,2,2,14,14
0,Male,15,0,1,0,2,1,2,4,Near Home,Father,3,5 to 10h,0,1,0,1,Yes,1,1,0,5,2,2,1,1,4,0,10,12
0,Female,15,0,0,0,4,4,1,2,Reputation,Father,1,Up to 2h,0,1,0,1,Yes,1,1,0,4,3,3,1,3,5,0,12,13
0,Female,15,0,1,0,4,3,0,4,Reputation,Mother,2,2 to 5h,0,1,0,0,Yes,1,1,0,5,4,3,1,2,3,0,12,12
0,Female,15,0,1,1,2,2,4,4,Course Preference,None,1,5 to 10h,0,1,0,0,Yes,1,1,1,4,5,2,1,1,3,0,14,14
0,Male,16,0,1,0,4,4,1,4,Course Preference,Mother,1,Up to 2h,0,1,0,0,Yes,1,1,0,4,4,4,1,2,2,6,17,17
0,Male,16,0,1,0,4,4,2,2,Near Home,Mother,1,5 to 10h,0,1,0,1,Yes,1,1,0,3,2,3,1,2,2,10,13,13
0,Male,16,0,1,0,3,3,4,4,Near Home,Mother,3,2 to 5h,1,1,0,1,Yes,1,0,0,5,3,2,1,1,4,2,13,14
0,Female,17,0,1,0,3,2,2,2,Reputation,Mother,1,Up to 2h,0,1,1,1,Yes,1,1,0,5,5,5,2,4,5,2,8,8
0,Female,16,0,0,0,4,3,1,4,Course Preference,Father,1,Up to 2h,0,0,0,1,Yes,1,1,0,3,1,3,1,3,5,6,12,12
0,Female,15,0,1,0,4,3,0,4,Near Home,Mother,1,2 to 5h,0,0,0,0,Yes,1,1,0,4,4,1,1,1,1,0,12,13
0,Female,15,0,1,0,4,4,1,1,Other,Father,1,Up to 2h,0,1,1,0,Yes,1,1,0,5,4,2,1,1,5,0,11,12
0,Female,16,0,0,0,4,2,0,4,Reputation,Mother,1,2 to 5h,0,0,0,1,Yes,1,1,0,4,5,1,1,3,5,0,12,13
0,Female,16,0,0,0,2,2,4,4,Near Home,Mother,2,2 to 5h,0,1,0,1,Yes,1,1,0,5,4,4,2,4,5,2,10,10
0,Male,15,1,1,0,2,4,2,1,Reputation,Mother,1,5 to 10h,1,1,0,1,Yes,1,1,0,4,3,2,1,1,5,2,10,11
0,Male,16,0,1,0,2,2,2,2,Course Preference,Mother,1,Up to 2h,0,1,0,0,No,1,1,0,1,2,2,1,3,5,6,10,11
0,Female,15,0,1,0,2,2,4,4,Course Preference,Mother,1,Up to 2h,0,1,0,0,Yes,1,1,0,4,2,2,1,2,5,8,11,12
0,Female,15,0,1,0,4,2,1,2,Other,Mother,1,Up to 2h,0,0,0,0,Yes,1,1,0,2,2,4,2,4,1,0,11,11
0,Female,16,0,0,1,3,4,2,4,Course Preference,Mother,1,2 to 5h,1,1,1,1,Yes,1,1,0,5,3,3,1,1,5,2,12,12
0,Female,16,0,1,0,4,4,0,0,Course Preference,Mother,1,2 to 5h,0,1,1,1,Yes,1,1,1,4,4,5,5,5,5,4,12,11
0,Female,15,0,1,0,4,4,1,2,Course Preference,Mother,1,2 to 5h,0,1,1,0,No,1,1,0,5,4,2,3,4,5,0,10,11
0,Female,15,0,1,0,4,4,2,2,Near Home,Mother,2,2 to 5h,0,1,0,1,Yes,1,1,0,4,3,1,1,1,5,2,15,15
0,Female,15,1,1,0,4,3,0,3,Reputation,Mother,1,2 to 5h,0,1,0,1,Yes,1,1,1,4,5,2,1,1,5,0,13,14
0,Female,15,0,0,0,3,3,4,4,Reputation,Mother,1,2 to 5h,0,0,0,1,No,1,1,0,5,3,2,1,1,2,0,13,12
0,Female,16,0,1,0,3,2,4,4,Course Preference,Mother,1,Up to 2h,0,1,0,0,No,1,1,0,5,4,3,1,1,5,4,12,12
0,Male,15,0,1,0,2,3,4,4,Other,Father,2,Up to 2h,0,1,0,1,Yes,1,0,0,3,5,1,1,1,5,4,11,11
0,Female,15,0,0,0,4,3,0,2,Course Preference,Mother,1,5 to 10h,0,1,0,1,Yes,1,1,0,5,4,3,1,1,4,0,14,14
0,Female,16,1,1,1,4,4,4,0,Near Home,Mother,2,5 to 10h,0,1,0,1,Yes,1,1,1,2,4,3,1,1,5,4,13,13
0,Male,15,1,1,0,3,4,2,1,Reputation,Mother,1,5 to 10h,1,1,0,1,Yes,1,1,0,4,3,2,1,1,5,2,11,12
0,Male,15,1,1,0,2,2,3,4,Near Home,Mother,1,Up to 2h,1,1,0,1,Yes,1,0,0,4,3,1,1,1,2,8,14,13
0,Male,16,0,0,0,2,2,4,4,Course Preference,Mother,2,2 to 5h,0,1,0,1,No,1,1,1,3,3,3,1,2,3,16,11,11
0,Female,15,0,0,0,4,4,0,4,Course Preference,None,1,Up to 2h,0,1,0,0,No,1,1,1,5,4,3,2,4,5,8,10,11
0,Female,15,0,1,0,4,4,2,0,Reputation,Father,1,2 to 5h,0,1,0,1,Yes,1,1,0,4,3,3,1,1,5,0,14,15
0,Female,15,0,1,0,2,2,2,2,Reputation,Father,1,Up to 2h,1,1,0,0,Yes,1,1,0,5,4,1,1,1,1,0,9,10
0,Male,16,0,0,0,2,2,4,3,Reputation,Father,2,2 to 5h,1,0,0,1,Yes,1,1,0,4,3,3,2,2,5,14,10,11
0,Male,15,0,0,1,4,3,4,4,Reputation,Mother,1,2 to 5h,1,1,1,1,Yes,1,1,1,5,2,2,1,1,5,4,10,11
0,Male,16,0,0,1,3,3,4,2,Course Preference,Mother,1,2 to 5h,0,1,0,0,Yes,1,1,0,2,3,5,1,4,3,6,13,12
0,Female,16,0,1,0,4,3,1,2,Near Home,Mother,1,More than 10h,0,0,0,1,Yes,1,1,0,4,2,2,1,1,2,2,17,17
0,Female,15,0,1,0,4,2,0,4,Course Preference,Mother,1,2 to 5h,0,1,0,0,Yes,1,0,0,4,3,3,2,2,5,4,11,12
0,Male,15,0,1,0,4,4,2,0,Other,Father,1,2 to 5h,1,1,0,1,No,1,1,0,4,4,4,1,1,3,2,13,12
0,Male,16,0,0,0,2,2,2,2,Reputation,Mother,3,2 to 5h,0,1,0,0,Yes,1,1,0,4,3,3,2,3,4,0,14,13
0,Male,15,0,0,0,4,2,1,4,Other,Mother,1,2 to 5h,0,1,0,0,Yes,1,1,0,4,3,3,1,1,5,0,16,14
0,Female,15,0,0,1,4,2,1,1,Other,Father,2,Up to 2h,0,0,0,0,Yes,1,0,0,5,5,5,3,4,5,4,10,9
0,Male,15,0,1,0,4,4,2,2,Reputation,Mother,1,Up to 2h,1,1,0,0,Yes,1,1,0,3,3,4,2,3,5,0,13,12
0,Male,15,0,0,1,3,3,4,4,Other,Mother,1,Up to 2h,0,0,0,0,Yes,1,1,0,5,3,4,4,4,1,0,13,12
0,Male,16,0,1,1,2,1,4,4,Other,Mother,1,2 to 5h,0,0,0,1,Yes,1,1,1,5,3,4,1,1,2,2,12,13
0,Male,15,0,1,1,4,3,2,2,Near Home,Mother,1,2 to 5h,0,1,0,1,Yes,1,1,0,4,3,2,1,1,1,0,15,14
0,Female,15,0,1,0,4,4,0,1,Near Home,Mother,1,2 to 5h,0,1,0,1,Yes,1,0,0,3,2,2,1,1,5,8,15,15
0,Female,15,0,0,0,1,2,4,3,Course Preference,Father,1,2 to 5h,1,1,0,1,Yes,1,1,0,4,3,2,1,1,5,0,14,13
0,Male,16,0,1,0,4,2,2,4,Reputation,Mother,1,2 to 5h,0,1,1,0,Yes,1,1,0,4,2,3,1,1,5,2,16,15
0,Male,16,1,1,0,4,4,1,0,Other,Mother,1,2 to 5h,0,1,0,1,Yes,1,0,0,2,4,4,2,3,4,0,17,16
0,Male,16,0,1,0,1,1,2,2,Reputation,Father,4,Up to 2h,1,1,0,1,No,1,1,1,5,5,5,5,5,5,0,10,10
0,Male,16,0,0,0,1,2,4,2,Near Home,Father,1,2 to 5h,1,0,0,1,Yes,1,1,0,4,4,3,1,1,1,0,13,13
0,Male,16,0,1,0,4,3,0,1,Course Preference,Mother,1,5 to 10h,1,1,0,1,Yes,1,1,0,3,4,4,2,4,4,0,14,13
0,Male,15,0,0,0,4,3,2,2,Near Home,Father,1,2 to 5h,1,0,0,1,Yes,1,1,1,4,4,4,2,4,2,0,13,12
0,Male,16,0,0,0,4,3,0,2,Reputation,Mother,3,2 to 5h,0,1,0,1,Yes,1,1,0,5,4,3,1,2,1,2,16,15
0,Female,15,0,1,1,4,4,4,2,Near Home,Mother,1,More than 10h,0,1,0,1,No,1,1,1,1,3,3,5,5,3,0,11,12
0,Male,16,0,1,0,3,1,2,4,Reputation,Mother,1,More than 10h,1,1,0,0,Yes,1,1,0,4,3,3,1,2,5,0,10,9
0,Male,15,1,0,0,2,2,1,2,Near Home,Mother,2,2 to 5h,1,1,0,0,Yes,1,1,0,4,1,3,1,3,4,0,11,10
0,Male,15,1,0,0,3,1,4,4,Near Home,Father,2,More than 10h,0,1,0,0,No,1,1,0,4,4,2,2,3,3,6,15,15
0,Female,16,0,1,0,3,1,4,4,Near Home,Father,2,More than 10h,0,1,0,0,Yes,1,1,0,4,3,2,1,1,5,2,13,11
0,Female,15,0,1,0,4,2,4,4,Reputation,Mother,1,More than 10h,0,0,0,0,Yes,1,1,0,3,3,3,1,1,3,0,11,9
0,Male,15,1,1,0,1,1,4,4,Near Home,Mother,1,2 to 5h,1,1,0,0,No,1,1,1,3,3,4,2,4,5,2,13,11
0,Female,16,0,1,0,3,1,4,4,Near Home,Mother,1,Up to 2h,0,0,0,1,Yes,1,0,0,5,3,2,2,2,5,0,13,13
0,Male,16,0,1,0,3,3,4,2,Course Preference,Mother,1,2 to 5h,1,1,0,1,Yes,1,1,0,4,3,3,2,4,5,4,11,11
